Date;1788 - Monetary base - Monetary base (end-of-period balance) - c.m.u. (thousand);1833 - Extended monetary base (end-of-period balance) - c.m.u. (thousand)
10/2014;231,028,326 ;3,440,720,326
11/2014;241,625,564 ;3,477,431,564
12/2014;263,528,517 ;3,512,919,517
01/2015;238,524,692 ;3,553,649,692
02/2015;238,815,587 ;3,606,088,587
03/2015;240,656,354 ;3,679,223,354
04/2015;235,020,109 ;3,674,736,109
05/2015;239,513,461 ;3,740,418,461
06/2015;231,958,724 ;3,782,246,724
07/2015;225,062,844 ;3,862,849,844
08/2015;231,716,459 ;3,919,915,459
09/2015;228,447,456 ;3,968,446,456
10/2015;239,621,335 ;4,004,435,335
11/2015;242,846,854 ;4,039,212,854
12/2015;255,288,922 ;4,127,439,922
01/2016;240,328,748 ;4,185,055,748
02/2016;252,559,892 ;4,220,769,892
03/2016;242,529,929 ;4,213,463,929
04/2016;242,142,585 ;4,248,916,585
05/2016;239,965,619 ;4,315,231,619
06/2016;234,678,114 ;4,351,981,114
07/2016;240,845,334 ;4,450,955,334
08/2016;235,768,695 ;4,505,599,695
09/2016;247,035,954 ;4,575,065,954
10/2016;247,845,546 ;4,578,629,546
11/2016;244,919,983 ;4,649,000,983
12/2016;270,287,146 ;4,639,804,146
01/2017;262,392,204 ;4,688,649,204
02/2017;266,324,996 ;4,745,187,996
03/2017;243,610,350 ;4,794,188,350
04/2017;263,654,534 ;4,834,724,534
05/2017;237,651,513 ;4,893,862,513
06/2017;260,238,970 ;4,958,083,970
07/2017;255,860,258 ;5,021,282,258
08/2017;252,160,311 ;5,072,214,311
09/2017;262,770,311 ;5,100,914,311
10/2017;254,453,340 ;5,123,951,340
11/2017;264,219,805 ;5,147,404,805
12/2017;296,755,456 ;5,166,528,456
01/2018;272,396,111 ;5,201,785,111
02/2018;264,517,034 ;5,234,175,034
03/2018;275,056,180 ;5,263,178,180
04/2018;263,342,859 ;5,303,237,859
05/2018;269,552,906 ;5,350,410,906
06/2018;269,827,763 ;5,372,899,763
07/2018;275,338,550 ;5,424,742,550
08/2018;277,677,286 ;5,421,395,286
09/2018;279,406,906 ;5,464,147,906
10/2018;286,975,496 ;5,481,415,496
11/2018;279,258,830 ;5,513,711,830
12/2018;302,049,461 ;5,536,681,461
01/2019;279,105,602 ;5,566,457,602
02/2019;290,147,814 ;5,594,398,814
03/2019;286,741,568 ;5,667,996,568
04/2019;279,604,663 ;5,708,255,663
05/2019;277,875,947 ;5,707,559,947
06/2019;276,039,957 ;5,734,947,957
07/2019;271,344,687 ;5,771,617,687
08/2019;282,617,300 ;5,821,733,300
09/2019;281,136,562 ;5,784,790,562
10/2019;292,347,495 ;5,771,910,495
11/2019;296,782,893 ;5,803,698,893
12/2019;316,586,707 ;5,741,580,707
01/2020;317,959,396 ;5,783,434,396
02/2020;303,197,485 ;5,809,539,485
03/2020;307,560,246 ;5,795,223,246
04/2020;336,684,294 ;5,885,941,294
05/2020;368,062,869 ;6,046,200,869
06/2020;381,679,997 ;6,269,444,997
07/2020;423,674,702 ;6,386,110,702
08/2020;402,707,438 ;6,516,834,438
09/2020;408,736,990 ;6,642,845,990
10/2020;427,820,406 ;6,693,062,406
11/2020;402,306,427 ;6,687,471,427
12/2020;410,199,091 ;6,749,380,091
01/2021;406,857,628 ;6,796,040,628
Source;BCB-DSTAT;BCB-DSTAT
